command_date,bird_flight_distance,car_type,surge,address,is_from_airport,eta,rta
2018-01-09 20:59:39.929000+00:00,265.70740052413447,standard,1.0,86 Rue du Point du Jour,False,69,134
2018-01-09 19:01:31.441000+00:00,265.131828953033,standard,1.0,6 Rue Duret,False,232,208
2018-01-13 09:24:32.508000+00:00,690.3001217833203,standard,,11 Rue Marjolin,False,375,297
2018-01-13 18:46:02.473000+00:00,172.570943782906,standard,1.7,31 Boulevard Edgar Quinet,False,141,117
2018-01-14 15:32:33.485000+00:00,1014.1906243892673,standard,1.5,265 Rue du Faubourg Saint-Antoine,False,314,387
2018-01-11 19:47:45.364000+00:00,244.20762436586625,standard,,23 Rue Étienne Marcel,False,286,249
2018-01-14 18:09:32.640000+00:00,743.3267150879657,standard,1.9,198 Avenue Victor Hugo,False,202,236
2018-01-09 08:53:37.256000+00:00,1549.675549384992,standard,1.0,46 Rue de la Rochefoucauld,False,515,438
2018-01-10 11:24:08.852000+00:00,167.12436413773662,standard,1.0,17 Rue du Général Henrion Bertier,,270,411
2018-01-08 15:31:12.300000+00:00,676.3313815446768,standard,1.0,Orly Terminal Ouest,True,224,37
2018-01-12 14:57:13.412000+00:00,562.5070820112954,standard,1.0,52 Rue Bichat,False,358,296
2018-01-11 22:34:34.439000+00:00,588.8585834790233,van,1.0,54 Rue du Colisée,False,188,857
2018-01-13 02:34:47.513000+00:00,576.5008018059902,standard,1.4,108 Boulevard de Clichy,False,372,354
2018-01-10 11:29:11.401000+00:00,488.7656222764524,standard,,20 Rue d'Arcueil,False,349,609
2018-01-13 18:48:31.715000+00:00,543.4299669563711,standard,1.8,92 Av. des Champs-Élysées,False,250,354
2018-01-13 17:17:53.773000+00:00,233.6863323900569,standard,1.0,212 Boulevard de la Villette,False,119,251
2018-01-11 11:20:59.762000+00:00,555.3179180883368,standard,1.0,85 Rue Jean de la Fontaine,False,200,134
2018-01-16 00:23:18.390000+00:00,1992.8417833171334,standard,,32 Av. des Champs-Élysées,False,382,299
2018-01-14 00:45:31.668000+00:00,610.6549937590893,standard,1.4,11 Rue Frochot,False,290,327
2018-01-08 20:27:55.751000+00:00,45.260866505934885,standard,1.0,Gare du Nord,False,32,85
2018-01-16 23:44:41.844000+00:00,208.36374436810416,standard,,8 Rue Turgot,False,246,266
2018-01-09 19:52:35.162000+00:00,373.3831525026764,standard,1.5,Rue de Furstenberg,,357,274
2018-01-14 22:19:25.750000+00:00,1518.7529663946607,standard,1.0,CDG terminal 1,True,252,812
2018-01-10 06:36:56.298000+00:00,1975.035497006312,standard,1.2,39 Rue Marjolin,False,764,463
2018-01-11 23:55:17.012000+00:00,190.77755730724246,standard,1.0,19 Rue des 4 Cheminées,False,181,140
2018-01-14 16:52:30.471000+00:00,1610.239264065693,standard,1.0,25 Rue Sadi Carnot,False,406,621
2018-01-11 14:33:10.680000+00:00,262.7706006642318,standard,1.0,10 Rue Chateaubriand,False,116,368
2018-01-11 18:18:39.800000+00:00,1048.285687677017,standard,1.0,61 Avenue de Breteuil,False,408,704
2018-01-14 01:36:59.013000+00:00,1892.751318918283,standard,1.8,52 Rue Saint-Maur,False,560,389
2018-01-14 20:20:18.052000+00:00,883.1406186298376,standard,1.0,28 Rue Marx Dormoy,False,254,408
2018-01-13 07:31:54.372000+00:00,1784.2982608729787,standard,1.0,19 Avenue Parmentier,False,533,456
2018-01-16 21:07:06.606000+00:00,1093.8950865255604,standard,1.8,13 Rue Berryer,False,311,245
2018-01-11 19:09:25.815000+00:00,898.7889662428917,standard,1.0,21 Rue Jules Vallès,False,386,939
2018-01-13 21:40:06.477000+00:00,2060.8408046988025,standard,1.4,123 Boulevard des États-Unis,False,375,638
2018-01-16 19:35:07.483000+00:00,36.958526427639,standard,1.0,Roissy Terminal 2D,True,327,851
2018-01-09 09:44:55.701000+00:00,236.25828840227783,standard,1.0,22 Rue Victor Noir,False,192,224
2018-01-12 02:29:01.242000+00:00,1559.7755757975726,standard,1.0,77 Rue Chardon Lagache,False,380,234
2018-01-13 19:43:46.094000+00:00,105.82516307292862,standard,1.9,3 Rue du Haut Pavé,False,508,603
2018-01-16 20:01:47.498000+00:00,761.8048187775194,standard,1.3,49 Avenue Georges Pompidou,False,206,216
2018-01-09 09:47:27.659000+00:00,59.4480835888671,standard,,2 Place Louis-Armand,,368,197
2018-01-12 11:44:00.841000+00:00,149.6047902971448,standard,1.0,16 Rue Juge,False,182,288
2018-01-13 09:06:00.004000+00:00,883.8222354149506,standard,1.0,11 Rue Fourcade,False,282,224
2018-01-16 20:21:22.608000+00:00,926.0915998664424,standard,1.0,10 Rue Bernard Buffet,False,346,403
2018-01-14 00:05:13.939000+00:00,597.6095361785106,standard,1.9,61 Rue du Faubourg Saint-Denis,False,246,145
2018-01-13 08:15:56.215000+00:00,506.7017873705015,standard,1.0,192 Rue du Faubourg Saint-Martin,False,185,117
2018-01-11 17:17:30.077000+00:00,1109.2147608716368,standard,,69 Boulevard Bineau,,437,489
2018-01-16 11:37:53.089000+00:00,884.7013198197893,standard,,1 Boulevard de Belleville,False,351,504
2018-01-14 02:58:58.851000+00:00,972.0932820563914,standard,1.0,1 Rue Jouvencel,False,211,185
2018-01-11 23:09:00.566000+00:00,1852.3041355271923,standard,1.0,34 Boulevard Victor Hugo,False,329,275
2018-01-16 21:30:46.673000+00:00,746.4030727006366,standard,1.0,16 Rue Léon Frot,False,186,380
2018-01-09 13:51:56.585000+00:00,1293.104016685419,standard,1.0,8 Rue du Général Niox,False,258,329
2018-01-08 12:18:13.358000+00:00,157.47292782837022,standard,,19 Avenue de Suffren,False,110,170
2018-01-12 07:06:33.679000+00:00,1459.8970125967624,standard,1.0,13 Rue Claude Mivière,False,459,476
2018-01-13 20:18:17.887000+00:00,654.3053200283159,standard,1.5,4 Rue Xaintrailles,False,246,155
2018-01-14 00:54:37.436000+00:00,999.2587623092296,standard,1.9,38 Rue de Sambre-et-Meuse,False,425,258
2018-01-12 18:30:59.201000+00:00,744.1500442445692,standard,1.4,17 Boulevard Diderot,False,305,316
2018-01-15 21:23:01.840000+00:00,591.063749551854,standard,1.0,24 Rue Jean Jaurès,False,167,449
2018-01-15 20:41:39.593000+00:00,579.7771002159848,standard,1.0,25-29 Rue Bisson,False,266,261
2018-01-16 06:27:43.722000+00:00,5258.822630670584,standard,1.0,24 Boulevard de Belgique,False,884,788
2018-01-13 21:22:36.146000+00:00,1420.091014147232,standard,1.0,7 Boulevard de Stalingrad,False,440,424
2018-01-14 19:18:18.819000+00:00,394.737227754567,standard,1.0,27 Rue des Ardennes,False,168,216
2018-01-10 08:22:55.244000+00:00,2067.194281124397,standard,1.3,2 Rue du 8 Mai 1945,False,601,1012
2018-01-11 07:01:34.916000+00:00,814.532546442184,standard,,26 Avenue Charles Floquet,False,439,297
2018-01-16 09:40:17.206000+00:00,718.1829709378078,standard,1.0,116 Avenue Jean Baptiste Clement,False,547,437
2018-01-14 19:49:19.589000+00:00,733.6382331067398,standard,,Roissy terminal 2A,True,115,727
2018-01-15 11:59:26.411000+00:00,394.34298927535264,standard,1.0,Orly Terminal Sud,True,603,9
2018-01-11 21:10:20.110000+00:00,1060.6270617611797,standard,1.0,62 Rue de Paris,False,269,293
2018-01-16 15:41:34.601000+00:00,415.3313290563544,standard,1.0,131 Rue de l'Université,False,176,332
2018-01-15 11:37:16.282000+00:00,577.1160617149839,standard,1.0,1 Impasse Saint-Claude,False,259,245
2018-01-12 18:53:30.251000+00:00,157.03505937850434,standard,,49 Rue Saint-André des Arts,False,228,363
2018-01-11 01:56:38.256000+00:00,782.0639034310001,standard,,17 Rue René Boulanger,False,311,293
2018-01-16 10:28:12.509000+00:00,702.700361966768,standard,1.0,18 Rue Poliveau,False,274,385
2018-01-10 04:50:23.391000+00:00,802.938782438229,standard,1.0,48 Rue des Vinaigriers,,382,221
2018-01-13 20:17:16.923000+00:00,3538.50175429802,standard,1.0,28 Rue de Pologne,False,765,892
2018-01-08 15:03:44.236000+00:00,577.6913541076298,standard,,5 Rue Denis Poisson,False,159,300
2018-01-15 21:17:20.550000+00:00,1098.5941589706908,standard,1.0,61 Avenue de Saxe,False,338,286
